time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1958-07-26T17:37:14.000Z,-13.428,-69.388,612.4,7.5,mw,,,,,iscgem,iscgem884809,2020-07-10T05:10:40.345Z,"83 km S of Tambopata, Peru",earthquake,,,,,automatic,iscgem,iscgem
1958-11-06T22:58:09.000Z,44.479,148.485,35,8.3,mw,,,,,official,official19581106225809_30,2020-07-10T14:32:40.049Z,"95 km SSE of Kuril’sk, Russia",earthquake,,,,,automatic,iscgem,official
1959-05-04T07:15:47.000Z,53.257,159.732,55,7.9,mw,,,,,iscgem,iscgem881925,2020-07-10T04:34:40.313Z,"76 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,,,,,automatic,iscgem,iscgem
1960-03-20T17:07:31.000Z,39.869,143.228,15,8,mw,,,,,iscgem,iscgem878564,2020-07-10T04:03:43.034Z,"113 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1960-05-21T10:02:57.000Z,-37.824,-73.353,25,8.1,mw,,,,,iscgem,iscgem879106,2020-07-10T04:06:44.468Z,"4 km ESE of Cañete, Chile",earthquake,,,,,automatic,iscgem,iscgem
1960-05-22T18:56:02.000Z,-38.061,-73.039,25,7.8,mw,,,,,official,official19600522185602_30,2020-07-10T14:33:06.632Z,"38 km WNW of Traiguén, Chile",earthquake,,,,,automatic,iscgem,official
1960-05-22T19:11:20.000Z,-38.143,-73.407,25,9.5,mw,,,,,official,official19600522191120_30,2020-09-25T18:00:15.563Z,"1960 Great Chilean Earthquake (Valdivia Earthquake)",earthquake,,,,,automatic,iscgem,official
1960-06-06T05:55:48.000Z,-45.785,-72.889,15,7.8,mw,,,,,iscgem,iscgem879416,2020-07-10T04:11:44.680Z,"35 km S of Puerto Chacabuco, Chile",earthquake,,,,,automatic,iscgem,iscgem
1960-11-20T22:01:57.000Z,-6.775,-80.918,15,7.6,mw,,,,,iscgem,iscgem880820,2020-07-10T04:23:52.375Z,"103 km WSW of Mórrope, Peru",earthquake,,,,,automatic,iscgem,iscgem
1961-02-26T18:10:52.000Z,31.739,131.475,35,7.5,mw,,,,,iscgem,iscgem876175,2020-07-10T03:46:55.990Z,"18 km NNE of Nichinan, Japan",earthquake,,,,,automatic,iscgem,iscgem
